Ref,Val,Package,PosX,PosY,Rot,Side
"C2",".1uF","C_0805_2012Metric",115.362475,-13.411950,-90.000000,bottom
"C3",".1uF","C_0805_2012Metric",115.362475,-22.682950,-90.000000,bottom
"C4",".1uF","C_0805_2012Metric",126.802675,-25.400750,0.000000,bottom
"D1","D_Small","Diode",-154.781250,50.006250,90.000000,bottom
"D2","D_Small","Diode",-135.731250,50.006250,90.000000,bottom
"D3","D_Small","Diode",-116.681250,50.006250,90.000000,bottom
"D4","D_Small","Diode",-97.631250,50.006250,90.000000,bottom
"D5","D_Small","Diode",-78.581250,50.006250,90.000000,bottom
"D6","D_Small","Diode",-50.006250,50.006250,90.000000,bottom
"D7","D_Small","Diode",-30.956250,50.006250,90.000000,bottom
"D8","D_Small","Diode",-11.906250,50.006250,90.000000,bottom
"D9","D_Small","Diode",7.143750,50.006250,90.000000,bottom
"D10","D_Small","Diode",35.718750,50.006250,90.000000,bottom
"D11","D_Small","Diode",54.768750,50.006250,90.000000,bottom
"D12","D_Small","Diode",73.818750,50.006250,90.000000,bottom
"D13","D_Small","Diode",92.868750,50.006250,90.000000,bottom
"D14","D_Small","Diode",-154.781250,26.193750,90.000000,bottom
"D15","D_Small","Diode",-135.731250,26.193750,90.000000,bottom
"D16","D_Small","Diode",-116.681250,26.193750,90.000000,bottom
"D17","D_Small","Diode",-97.631250,26.193750,90.000000,bottom
"D18","D_Small","Diode",-78.581250,26.193750,90.000000,bottom
"D19","D_Small","Diode",-59.531250,26.193750,90.000000,bottom
"D20","D_Small","Diode",-40.481250,26.193750,90.000000,bottom
"D21","D_Small","Diode",-21.431250,26.193750,90.000000,bottom
"D22","D_Small","Diode",-2.381250,26.193750,90.000000,bottom
"D23","D_Small","Diode",16.668750,26.193750,90.000000,bottom
"D24","D_Small","Diode",35.718750,26.193750,90.000000,bottom
"D25","D_Small","Diode",54.768750,26.193750,90.000000,bottom
"D26","D_Small","Diode",73.818750,26.193750,90.000000,bottom
"D27","D_Small","Diode",83.343750,35.718750,180.000000,bottom
"D28","D_Small","Diode",102.393750,35.718750,180.000000,bottom
"D29","D_Small","Diode",-150.018750,7.143750,90.000000,bottom
"D30","D_Small","Diode",-126.206250,7.143750,90.000000,bottom
"D31","D_Small","Diode",-107.156250,7.143750,90.000000,bottom
"D32","D_Small","Diode",-88.106250,7.143750,90.000000,bottom
"D33","D_Small","Diode",-69.056250,7.143750,90.000000,bottom
"D34","D_Small","Diode",-50.006250,7.143750,90.000000,bottom
"D35","D_Small","Diode",-30.956250,7.143750,90.000000,bottom
"D36","D_Small","Diode",-11.906250,7.143750,90.000000,bottom
"D37","D_Small","Diode",7.143750,7.143750,90.000000,bottom
"D38","D_Small","Diode",26.193750,7.143750,90.000000,bottom
"D39","D_Small","Diode",45.243750,7.143750,90.000000,bottom
"D40","D_Small","Diode",64.293750,7.143750,90.000000,bottom
"D41","D_Small","Diode",83.343750,7.143750,90.000000,bottom
"D42","D_Small","Diode",80.962500,-11.906250,90.000000,bottom
"D43","D_Small","Diode",-147.637500,-11.906250,90.000000,bottom
"D44","D_Small","Diode",-121.443750,-11.906250,90.000000,bottom
"D45","D_Small","Diode",-102.393750,-11.906250,90.000000,bottom
"D46","D_Small","Diode",-83.343750,-11.906250,90.000000,bottom
"D47","D_Small","Diode",-64.293750,-11.906250,90.000000,bottom
"D48","D_Small","Diode",-45.243750,-11.906250,90.000000,bottom
"D49","D_Small","Diode",-26.193750,-11.906250,90.000000,bottom
"D50","D_Small","Diode",-7.143750,-11.906250,90.000000,bottom
"D51","D_Small","Diode",11.906250,-11.906250,90.000000,bottom
"D52","D_Small","Diode",30.956250,-11.906250,90.000000,bottom
"D53","D_Small","Diode",50.006250,-11.906250,90.000000,bottom
"D54","D_Small","Diode",69.056250,-11.906250,90.000000,bottom
"D55","D_Small","Diode",107.156250,7.143750,90.000000,bottom
"D56","D_Small","Diode",-150.018750,-50.006250,90.000000,bottom
"D57","D_Small","Diode",-126.206250,-50.006250,90.000000,bottom
"D58","D_Small","Diode",-102.393750,-50.006250,90.000000,bottom
"D59","D_Small","Diode",-21.431250,-50.006250,90.000000,bottom
"D60","D_Small","Diode",59.531250,-50.006250,90.000000,bottom
"D61","D_Small","Diode",83.343750,-50.006250,90.000000,bottom
"D62","D_Small","Diode",107.156250,-50.006250,90.000000,bottom
"D63","D_Small","Diode",126.206250,40.481250,180.000000,bottom
"D64","D_Small","Diode",135.731250,50.006250,90.000000,bottom
"D65","D_Small","Diode",154.781250,50.006250,90.000000,bottom
"D66","D_Small","Diode",126.206250,35.718750,180.000000,bottom
"D67","D_Small","Diode",135.731250,26.193750,90.000000,bottom
"D68","D_Small","Diode",154.781250,26.193750,90.000000,bottom
"D69","D_Small","Diode",126.206250,-2.381250,180.000000,bottom
"D70","D_Small","Diode",135.731250,7.143750,90.000000,bottom
"D71","D_Small","Diode",154.781250,7.143750,90.000000,bottom
"D72","D_Small","Diode",135.731250,-30.956250,90.000000,bottom
"D73","D_Small","Diode",116.681250,-50.006250,90.000000,bottom
"D74","D_Small","Diode",135.731250,-50.006250,90.000000,bottom
"D75","D_Small","Diode",154.781250,-50.006250,90.000000,bottom
"D77","D_Small","Diode",-142.875000,-30.956250,90.000000,bottom
"D78","D_Small","Diode",-111.918750,-30.956250,90.000000,bottom
"D79","D_Small","Diode",-92.868750,-30.956250,90.000000,bottom
"D80","D_Small","Diode",-73.818750,-30.956250,90.000000,bottom
"D81","D_Small","Diode",-54.768750,-30.956250,90.000000,bottom
